STA_rank,STA_DIST
206,189.5778012
207,189.923322
208,190.0439909
209,190.4810338
210,190.819774
211,191.1929431
212,191.879174
213,192.2087218
214,193.1625616
215,193.7955974
216,194.2720323
217,195.1139805
218,195.4527171
219,195.9613745
220,196.053319
221,196.1944104
222,196.8959243
223,196.9418008
224,196.9902104
225,198.2901663
226,198.769722
227,199.0021106
228,199.1615729
229,199.4705518
230,199.5170158
231,199.8569823
232,200.9895924
233,201.5969582
234,201.6101904
235,201.8233099
236,202.0058712
237,202.3049457
238,202.4080724
239,203.0445039
240,204.2748259
241,204.4582539
242,205.2673341
243,205.7576237
244,205.9673937
245,206.0282988
246,207.0181778
247,207.909716
248,208.1235582
249,208.9057979
250,209.5358059
251,209.6964517
252,210.1537911
253,210.3810687
254,210.3961282
255,211.6539952
256,211.7271056
257,212.3330256
258,212.6573234
259,212.8860621
260,214.0216709
261,214.3884693
262,214.9915705
263,215.0697961
264,215.450501
265,217.2435866
266,217.271766
267,217.7713185
268,217.8811726
269,217.9600406
270,218.4892819
271,219.7180996
272,220.2865183
273,220.4819908
274,220.5365463
275,220.981089
276,221.021138
277,221.4450303
278,221.9899183
279,222.5178874
280,223.5686304
281,224.3142745
282,224.8558081
283,225.2170735
284,225.3912616
285,225.7411621
286,227.6240343
287,227.7670274
288,228.02897
289,229.0052253
290,229.9850748
291,230.9984629
292,231.3701858
293,233.2425521
294,234.1601677
295,234.5063557
296,235.1593156
297,235.6527701
298,236.9179672
299,237.2164626
300,237.2181689
301,237.4632867
302,237.8731524
303,237.8841447
304,238.0431464
305,238.2780758
306,238.6577962
307,240.2541491
308,241.7901197
309,242.7306416
310,243.4446668
311,243.8812524
312,244.3815424
313,245.3170811
314,245.4033352
315,245.4214929
316,245.7026518
317,246.1420954
318,246.6053459
319,247.0146301
320,247.2307577
321,247.7864263
322,247.8711099
323,247.9024591
324,248.7240121
325,248.9792826
326,249.0303693
327,249.1405613
328,250.207331
329,250.6858273
330,251.5388089
331,252.1724138
332,252.2557484
333,252.6282306
334,252.8183344
335,253.1579136
336,253.5646536
337,255.5728851
338,256.0556459
339,256.7171408
340,256.9128422
341,257.3063308
342,258.6263808
343,259.2857722
344,260.0110129
345,260.0623806
346,260.7339469
347,260.7758739
348,261.0792122
349,261.2022571
350,261.9042489
351,261.9819167
352,262.672841
353,263.4071183
354,264.4567671
355,264.5719636
356,265.3426389
357,265.391374
358,265.6762448
359,267.0248556
360,267.5367846
361,267.9929421
362,268.1093724
363,268.5495283
364,269.0954712
365,269.4622896
366,269.8258384
367,270.4741368
368,270.624648
369,270.6644204
370,271.336214
371,271.3639622
372,271.3662863
373,271.4823855
374,271.5864706
375,271.6143289
376,271.7125959
377,271.8597313
378,272.0334039
379,272.173627
380,273.0404243
381,273.0891303
382,273.2702656
383,273.2992263
384,275.4415106
385,275.7908139
386,275.9797743
387,276.3685203
388,276.6518337
389,276.7422739
390,277.1082847
391,277.9081379
392,278.5790906
393,279.288123
394,279.4230502
395,279.485397
396,281.8414067
397,281.9189124
398,282.2407163
399,282.3839751
400,283.1228463
401,283.2068034
402,283.306197
403,283.6249682
404,284.4439054
405,285.9193234
406,286.5271897
407,288.3919201
408,289.1501406
409,289.186928
410,289.1869645
411,289.2960222
412,289.6780095
413,292.3845201
414,295.6158864
415,295.7707635
416,295.9517117
417,296.6362179
418,296.8669585
419,299.2412306
420,300.6790073
421,301.0609392
422,301.1736001
423,301.405867
424,301.5234929
425,302.0940481
426,302.4277574
427,302.8280052
428,304.0779658
429,304.4986008
430,304.5631635
431,306.2025233
432,306.2891311
433,306.6353091
434,307.1117511
435,307.2595993
436,307.6111687
437,307.6732499
438,308.1027047
439,308.2239035
440,308.3973576
441,308.4886089
442,308.6949903
443,308.8921124
444,309.8970138
445,310.088105
446,310.5611817
447,310.6078432
448,311.0231134
449,311.1154508
450,311.3948327
451,313.5634712
452,314.5144348
453,315.007014
454,316.1551636
455,316.250674
456,317.0630444
457,317.9799303
458,318.0689702
459,318.7688216
460,319.5692137
461,320.5420614
462,320.6413681
463,321.0229244
464,323.2475174
465,323.4052541
466,323.4115708
467,323.9067702
468,324.144164
469,326.1208932
470,328.5291076
471,329.8671399
472,333.3364628
473,333.7384224
474,334.0053417
475,337.3156029
476,340.1747652
477,340.553176
478,340.7257924
479,342.7493007
480,343.6780976
481,344.6670237
482,345.8484186
483,346.2057296
484,346.6468008
485,347.7814648
486,348.1690006
487,348.5809282
488,348.9717991
489,349.1914981
490,349.5247259
491,349.6651155
492,350.3789194
493,351.3190763
494,353.5692762
495,353.6322455
496,353.6401366
497,353.7584511
498,354.360366
499,354.7744758
500,355.2419657
501,356.5107519
502,357.1940893
503,358.0425091
504,358.2825509
505,359.9413886
506,360.4201273
507,360.6979086
508,361.1614516
509,361.4885725
510,363.0641816
511,363.1271107
512,366.0528639
513,367.405723
514,367.6920733
515,367.7368594
516,368.289886
517,368.8727276
518,370.1894495
519,370.4932366
520,371.4631739
521,371.9741185
522,372.0004667
523,373.067696
524,373.4813268
525,373.6516746
526,374.0173162
527,374.3238171
528,374.5993341
529,375.2902255
530,375.3193315
531,375.3678718
532,375.6566416
533,375.7005863
534,375.9048892
535,376.0627233
