lon,lat,PGA
120.19151,22.02593,0.0138686
120.19169,22.11587,0.006165935
120.19188,22.2058,0.00715671
120.19207,22.29573,0.008026545
120.19226,22.38566,0.006147565
120.19245,22.47559,0.0147195
120.19264,22.56553,0.0143338
120.19283,22.65546,0.01607005
120.19302,22.74539,0.02784675
120.19321,22.83532,0.03599
120.19341,22.92526,0.0385158
120.1936,23.01519,0.0416996
120.1938,23.10512,0.0434537
120.19399,23.19505,0.04222345
120.19419,23.28498,0.04288135
120.19439,23.37492,0.0462069
120.19459,23.46485,0.04943265
120.19479,23.55478,0.05368355
120.19499,23.64471,0.06000195
120.1952,23.73464,0.06966815
120.1954,23.82458,0.05623675
120.1956,23.91451,0.0395709
120.19581,24.00444,0.0376592
120.19602,24.09437,0.04572345
120.19623,24.18431,0.04856995
120.19643,24.27424,0.0489879
120.19664,24.36417,0.05177645
120.19686,24.4541,0.0365364
120.19707,24.54403,0.0314633
120.19728,24.63397,0.03524585
120.19749,24.7239,0.03964355
120.19771,24.81383,0.0386826
120.19793,24.90376,0.07564995
120.19814,24.99369,0.0643531
120.19836,25.08363,0.1071305
120.19858,25.17356,0.071272
120.1988,25.26349,0.04949355
120.19902,25.35342,0.08935175
120.28755,21.6662,0.002934
120.28779,21.75614,0.006346785
120.28803,21.84607,0.007558595
120.28828,21.936,0.008764145
120.28852,22.02593,0.00959592
120.28877,22.11587,0.00838044
120.28902,22.2058,0.01907
120.28927,22.29573,0.00883263
120.28952,22.38566,0.0142347
120.28977,22.47559,0.02148465
120.29002,22.56553,0.0192898
120.29028,22.65546,0.01880245
120.29053,22.74539,0.03580565
120.29079,22.83532,0.03507705
120.29105,22.92526,0.0474941
120.29131,23.01519,0.04373075
120.29157,23.10512,0.0551009
120.29183,23.19505,0.06132745
120.2921,23.28498,0.0438358
120.29236,23.37492,0.0622918
120.29263,23.46485,0.1010241
120.2929,23.55478,0.05524525
120.29317,23.64471,0.066698
120.29344,23.73464,0.05633675
120.29371,23.82458,0.0407773
120.29398,23.91451,0.05325865
120.29426,24.00444,0.05569045
120.29453,24.09437,0.0691536
120.29481,24.18431,0.07245355
120.29509,24.27424,0.06982185
120.29537,24.36417,0.0616053
120.29565,24.4541,0.05075385
120.29593,24.54403,0.0359006
120.29622,24.63397,0.0377258
120.2965,24.7239,0.0402818
120.29679,24.81383,0.0329042
120.29708,24.90376,0.0523777
120.29737,24.99369,0.0626707
120.29766,25.08363,0.09200945
