#,,"generated_by='OpenQuake engine 3.17.0', start_date='2023-07-19T06:18:45', checksum=877104236"
site_id,lon,lat
242,120.49366,24.54403
243,120.49409,24.63397
244,120.49452,24.72390
245,120.49495,24.81383
246,120.49538,24.90376
247,120.49582,24.99369
248,120.49625,25.08363
249,120.49669,25.17356
250,120.49713,25.26349
251,120.49757,25.35342
252,120.57785,21.66620
253,120.57828,21.75614
254,120.57870,21.84607
255,120.57913,21.93600
256,120.57956,22.02593
257,120.57999,22.11587
258,120.58043,22.20580
259,120.58086,22.29573
260,120.58130,22.38566
261,120.58174,22.47559
262,120.58219,22.56553
263,120.58263,22.65546
264,120.58308,22.74539
265,120.58353,22.83532
266,120.58398,22.92526
267,120.58444,23.01519
268,120.58490,23.10512
269,120.58536,23.19505
270,120.58582,23.28498
271,120.58628,23.37492
272,120.58675,23.46485
273,120.58722,23.55478
274,120.58769,23.64471
275,120.58816,23.73464
276,120.58864,23.82458
277,120.58912,23.91451
278,120.58960,24.00444
279,120.59008,24.09437
280,120.59056,24.18431
281,120.59105,24.27424
282,120.59154,24.36417
283,120.59203,24.45410
284,120.59253,24.54403
285,120.59303,24.63397
286,120.59353,24.72390
287,120.59403,24.81383
288,120.59453,24.90376
289,120.59504,24.99369
290,120.59555,25.08363
291,120.59606,25.17356
292,120.59658,25.26349
293,120.59709,25.35342
294,120.67462,21.66620
295,120.67511,21.75614
296,120.67559,21.84607
297,120.67608,21.93600
298,120.67657,22.02593
299,120.67707,22.11587
300,120.67756,22.20580
301,120.67806,22.29573
302,120.67856,22.38566
303,120.67907,22.47559
304,120.67958,22.56553
305,120.68008,22.65546
306,120.68060,22.74539
307,120.68111,22.83532
308,120.68163,22.92526
309,120.68215,23.01519
310,120.68267,23.10512
311,120.68320,23.19505
312,120.68372,23.28498
313,120.68425,23.37492
314,120.68479,23.46485
315,120.68532,23.55478
316,120.68586,23.64471
317,120.68640,23.73464
318,120.68695,23.82458
319,120.68749,23.91451
320,120.68804,24.00444
321,120.68859,24.09437
322,120.68915,24.18431
323,120.68971,24.27424
324,120.69027,24.36417
325,120.69083,24.45410
326,120.69139,24.54403
327,120.69196,24.63397
328,120.69253,24.72390
329,120.69311,24.81383
330,120.69368,24.90376
331,120.69426,24.99369
332,120.69485,25.08363
333,120.69543,25.17356
334,120.69602,25.26349
335,120.69661,25.35342
336,120.77139,21.66620
337,120.77193,21.75614
338,120.77248,21.84607
339,120.77303,21.93600
340,120.77359,22.02593
341,120.77414,22.11587
342,120.77470,22.20580
343,120.77526,22.29573
344,120.77583,22.38566
345,120.77639,22.47559
346,120.77696,22.56553
347,120.77754,22.65546
348,120.77811,22.74539
349,120.77869,22.83532
350,120.77927,22.92526
351,120.77986,23.01519
352,120.78045,23.10512
353,120.78104,23.19505
354,120.78163,23.28498
355,120.78223,23.37492
356,120.78283,23.46485
357,120.78343,23.55478
358,120.78404,23.64471
359,120.78464,23.73464
360,120.78526,23.82458
361,120.78587,23.91451
362,120.78649,24.00444
363,120.78711,24.09437
