STA_Lon_X,STA_Lat_Y,PGA
120.0975,24.09437,0.0850919
120.09764,24.18431,0.0935909
120.09778,24.27424,0.09142745
120.0982,24.54403,0.0945917
120.09834,24.63397,0.07076275
120.09849,24.7239,0.06634835
120.09863,24.81383,0.05421755
120.09877,24.90376,0.044325
120.09892,24.99369,0.03788915
120.09906,25.08363,0.03143785
120.09921,25.17356,0.028812
120.09936,25.26349,0.0259097
120.09951,25.35342,0.0225588
120.19078,21.6662,0.01242775
120.19096,21.75614,0.0134888
120.19114,21.84607,0.01426975
120.19132,21.936,0.0171306
120.19151,22.02593,0.01827455
120.19169,22.11587,0.0165771
120.19188,22.2058,0.01613985
120.19207,22.29573,0.01794695
120.19226,22.38566,0.0170687
120.19245,22.47559,0.02121775
120.19264,22.56553,0.02398935
120.19283,22.65546,0.0279451
120.19302,22.74539,0.0367446
120.19321,22.83532,0.04694785
120.19341,22.92526,0.0529466
120.1936,23.01519,0.0523521
120.1938,23.10512,0.05863965
120.19399,23.19505,0.0752468
120.19419,23.28498,0.07945695
120.19439,23.37492,0.0766054
120.19459,23.46485,0.08592305
120.19479,23.55478,0.0908072
120.19499,23.64471,0.102193
120.1952,23.73464,0.08548465
120.1954,23.82458,0.07722695
120.1956,23.91451,0.08186245
120.19581,24.00444,0.0874389
120.19602,24.09437,0.1005655
120.19623,24.18431,0.1256715
120.19728,24.63397,0.0793678
120.19749,24.7239,0.0695184
120.19771,24.81383,0.06006455
120.19793,24.90376,0.04910345
120.19814,24.99369,0.03776955
120.19836,25.08363,0.0359852
120.19858,25.17356,0.0287223
120.1988,25.26349,0.0280774
120.19902,25.35342,0.0211536
120.28755,21.6662,0.0125875
120.28779,21.75614,0.0149801
120.28803,21.84607,0.01647765
120.28828,21.936,0.0159149
120.28852,22.02593,0.02027105
120.28877,22.11587,0.02127375
120.28902,22.2058,0.0182467
120.28927,22.29573,0.01673905
120.28952,22.38566,0.02222385
120.28977,22.47559,0.02823015
120.29002,22.56553,0.03188595
120.29028,22.65546,0.04344455
120.29053,22.74539,0.0445191
120.29079,22.83532,0.04196765
120.29105,22.92526,0.0485971
120.29131,23.01519,0.05223525
120.29157,23.10512,0.06108915
120.29183,23.19505,0.08672865
120.2921,23.28498,0.0888456
120.29236,23.37492,0.0958327
120.29263,23.46485,0.110058
120.2929,23.55478,0.1074965
120.29317,23.64471,0.1210105
120.29344,23.73464,0.1258
120.29371,23.82458,0.1088685
120.29398,23.91451,0.1116615
120.29426,24.00444,0.1004255
120.29453,24.09437,0.121832
120.29481,24.18431,0.1395765
120.29622,24.63397,0.103686
120.2965,24.7239,0.0875232
120.29679,24.81383,0.07115015
120.29708,24.90376,0.05989855
120.29737,24.99369,0.04233285
120.29766,25.08363,0.0346228
120.29795,25.17356,0.0334001
120.29824,25.26349,0.0278443
120.29854,25.35342,0.0245484
120.38432,21.6662,0.0120187
120.38462,21.75614,0.01684685
120.38492,21.84607,0.01883165
120.38523,21.936,0.02315625
120.38553,22.02593,0.02013995
120.38584,22.11587,0.0213678
120.38615,22.2058,0.02355635
120.38647,22.29573,0.0209173
120.38678,22.38566,0.02860045
120.38709,22.47559,0.03343665
120.38741,22.56553,0.0324269
120.38773,22.65546,0.03157535
120.38805,22.74539,0.03324765
120.38837,22.83532,0.02999955
120.38869,22.92526,0.0423506
120.38902,23.01519,0.0476509
120.38935,23.10512,0.0520517
120.38967,23.19505,0.0481072
120.39,23.28498,0.08158455
120.39034,23.37492,0.103554
120.39067,23.46485,0.1362455
120.391,23.55478,0.193434
120.39134,23.64471,0.168567
120.39168,23.73464,0.157435
120.39202,23.82458,0.1429435
120.39236,23.91451,0.1555885
120.3927,24.00444,0.1532985
120.39305,24.09437,0.1388655
120.39339,24.18431,0.176032
120.39374,24.27424,0.1604605
120.39409,24.36417,0.157843
120.39444,24.4541,0.141039
120.3948,24.54403,0.1146545
120.39515,24.63397,0.108714
120.39551,24.7239,0.0828641
120.39587,24.81383,0.0673807
120.39623,24.90376,0.05967335
120.39659,24.99369,0.0506018
120.39696,25.08363,0.04188225
120.39732,25.17356,0.03259305
120.39769,25.26349,0.0294556
120.39806,25.35342,0.02714855
120.48108,21.6662,0.01422365
120.48145,21.75614,0.01750205
120.48181,21.84607,0.0180497
120.48218,21.936,0.02362675
120.48255,22.02593,0.0223305
120.48292,22.11587,0.02613185
120.48329,22.2058,0.02784455
120.48366,22.29573,0.02866405
120.48404,22.38566,0.0351105
120.48442,22.47559,0.03712285
120.4848,22.56553,0.0392006
120.48518,22.65546,0.04476825
120.48557,22.74539,0.05272895
120.48595,22.83532,0.0404684
120.48634,22.92526,0.0357692
120.48673,23.01519,0.0359072
120.48712,23.10512,0.04807595
120.48752,23.19505,0.0669284
120.48791,23.28498,0.06942835
120.48831,23.37492,0.09710685
120.48871,23.46485,0.1188865
120.48911,23.55478,0.141962
120.48951,23.64471,0.2129025
120.48992,23.73464,0.2079015
120.49033,23.82458,0.174907
120.49074,23.91451,0.203069
120.49115,24.00444,0.2149765
120.49156,24.09437,0.172379
120.49198,24.18431,0.1601745
120.4924,24.27424,0.1718265
120.49282,24.36417,0.140389
120.49324,24.4541,0.1074425
120.49366,24.54403,0.125962
120.49409,24.63397,0.0955204
120.49452,24.7239,0.0863831
120.49495,24.81383,0.070422
120.49538,24.90376,0.0677052
120.49582,24.99369,0.0481531
120.49625,25.08363,0.041328
120.49669,25.17356,0.039732
120.49713,25.26349,0.0335727
120.49757,25.35342,0.02661855
120.57785,21.6662,0.0140368
120.57828,21.75614,0.018183
120.5787,21.84607,0.01844085
